Date,Species,Block,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,Coordinates,Tmax_station1,Tmin_station1,Tavg_station1,Depart_station1,DewPoint_station1,WetBulb_station1,Heat_station1,Cool_station1,Sunrise_station1,Sunset_station1,SnowFall_station1,PrecipTotal_station1,StnPressure_station1,SeaLevel_station1,ResultSpeed_station1,ResultDir_station1,AvgSpeed_station1,Tmax_station2,Tmin_station2,Tavg_station2,Depart_station2,DewPoint_station2,WetBulb_station2,Heat_station2,Cool_station2,Sunrise_station2,Sunset_station2,SnowFall_station2,PrecipTotal_station2,StnPressure_station2,SeaLevel_station2,ResultSpeed_station2,ResultDir_station2,AvgSpeed_station2
2007-05-29,CULEX PIPIENS/RESTUANS,41,T002,41.95469,-87.800991,1,0,POINT (-87.800991 41.95469),88,60,74,10,58,65,0,9,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88,65,77,10,59,66,0,12,421.0,1917.0,0.0,0.0,29.44,30.09,5.8,16,7.4
2007-05-29,CULEX RESTUANS,41,T002,41.95469,-87.800991,1,0,POINT (-87.800991 41.95469),88,60,74,10,58,65,0,9,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88,65,77,10,59,66,0,12,421.0,1917.0,0.0,0.0,29.44,30.09,5.8,16,7.4
2007-05-29,CULEX RESTUANS,62,T007,41.994991,-87.769279,1,0,POINT (-87.769279 41.994991),88,60,74,10,58,65,0,9,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88,65,77,10,59,66,0,12,421.0,1917.0,0.0,0.0,29.44,30.09,5.8,16,7.4
2007-05-29,CULEX PIPIENS/RESTUANS,79,T015,41.974089,-87.824812,1,0,POINT (-87.82481199999999 41.974089),88,60,74,10,58,65,0,9,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88,65,77,10,59,66,0,12,421.0,1917.0,0.0,0.0,29.44,30.09,5.8,16,7.4
2007-05-29,CULEX RESTUANS,79,T015,41.974089,-87.824812,4,0,POINT (-87.82481199999999 41.974089),88,60,74,10,58,65,0,9,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88,65,77,10,59,66,0,12,421.0,1917.0,0.0,0.0,29.44,30.09,5.8,16,7.4
2007-05-29,CULEX RESTUANS,15,T045,41.9216,-87.666455,2,0,POINT (-87.666455 41.9216),88,60,74,10,58,65,0,9,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88,65,77,10,59,66,0,12,421.0,1917.0,0.0,0.0,29.44,30.09,5.8,16,7.4
2007-05-29,CULEX RESTUANS,25,T046,41.891118,-87.65449100000002,1,0,POINT (-87.65449100000001 41.891118),88,60,74,10,58,65,0,9,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88,65,77,10,59,66,0,12,421.0,1917.0,0.0,0.0,29.44,30.09,5.8,16,7.4
2007-05-29,CULEX PIPIENS/RESTUANS,11,T048,41.867108,-87.654224,1,0,POINT (-87.654224 41.867108),88,60,74,10,58,65,0,9,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88,65,77,10,59,66,0,12,421.0,1917.0,0.0,0.0,29.44,30.09,5.8,16,7.4
2007-05-29,CULEX RESTUANS,11,T048,41.867108,-87.654224,2,0,POINT (-87.654224 41.867108),88,60,74,10,58,65,0,9,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88,65,77,10,59,66,0,12,421.0,1917.0,0.0,0.0,29.44,30.09,5.8,16,7.4
2007-05-29,CULEX RESTUANS,11,T049,41.896282,-87.655232,1,0,POINT (-87.655232 41.896282),88,60,74,10,58,65,0,9,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88,65,77,10,59,66,0,12,421.0,1917.0,0.0,0.0,29.44,30.09,5.8,16,7.4
